"Question","Answer","Category","Group","Percentage"
"Which of the following categories best describes your employment status?","Not employed-retired","Age","65+",65
"Which of the following categories best describes your employment status?","Not employed-retired","Race","White",24
"Which of the following categories best describes your employment status?","Not employed-retired","Race","Non-White",9
"Which of the following categories best describes your employment status?","Not employed-retired","Children","Has Children",25
"Which of the following categories best describes your employment status?","Not employed-retired","Children","No Children",12
"Which of the following categories best describes your employment status?","Not employed-retired","Sexual Orientation","Straight",20
"Which of the following categories best describes your employment status?","Not employed-retired","Sexual Orientation","Gay/Bisexual",11
"Which of the following categories best describes your employment status?","Not employed, looking for work","All Men",NA,9
"Which of the following categories best describes your employment status?","Not employed, looking for work","Age","18-34",19
"Which of the following categories best describes your employment status?","Not employed, looking for work","Age","35-64",7
"Which of the following categories best describes your employment status?","Not employed, looking for work","Age","65+",1
"Which of the following categories best describes your employment status?","Not employed, looking for work","Race","White",7
"Which of the following categories best describes your employment status?","Not employed, looking for work","Race","Non-White",13
"Which of the following categories best describes your employment status?","Not employed, looking for work","Children","Has Children",7
"Which of the following categories best describes your employment status?","Not employed, looking for work","Children","No Children",12
"Which of the following categories best describes your employment status?","Not employed, looking for work","Sexual Orientation","Straight",9
"Which of the following categories best describes your employment status?","Not employed, looking for work","Sexual Orientation","Gay/Bisexual",13
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","All Men",NA,8
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Age","18-34",5
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Age","35-64",9
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Age","65+",8
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Race","White",9
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Race","Non-White",5
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Children","Has Children",5
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Children","No Children",10
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Sexual Orientation","Straight",7
"Which of the following categories best describes your employment status?","Not employed, NOT looking for work","Sexual Orientation","Gay/Bisexual",10
"Which of the following categories best describes your employment status?","No answer","All Men",NA,0
"Which of the following categories best describes your employment status?","No answer","Age","18-34",0
"Which of the following categories best describes your employment status?","No answer","Age","35-64",0
"Which of the following categories best describes your employment status?","No answer","Age","65+",0
"Which of the following categories best describes your employment status?","No answer","Race","White",0
"Which of the following categories best describes your employment status?","No answer","Race","Non-White",0
"Which of the following categories best describes your employment status?","No answer","Children","Has Children",0
"Which of the following categories best describes your employment status?","No answer","Children","No Children",0
"Which of the following categories best describes your employment status?","No answer","Sexual Orientation","Straight",0
"Which of the following categories best describes your employment status?","No answer","Sexual Orientation","Gay/Bisexual",0
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","All Men",NA,23
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Age","35-64",16
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Age","65+",27
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Race","White",20
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Race","Non-White",27
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Children","Has Children",20
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Children","No Children",27
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Sexual Orientation","Straight",21
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are taken more seriously","Sexual Orientation","Gay/Bisexual",NA
